Unique ID	Post	Labels Set		
2	"सरकार हमेशा से किसानों की कमाई को बढ़ाने के लिए नई-नई स्कीमें लाती रहती है, ताकि उन पर ज्यादा आर्थिक बोझ न पड़े.

https://t.co/8iy2MJSBAs"	non-hostile		
3	"सुशांत ने जो बिजनेस डील 9 जून को की थी, वो डील दीपेश को सुशांत की हत्या के दिन ही क्यों याद आई? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर #LIVE :  https://t.co/G945HvzM0Z https://t.co/KfH7xF1IdM"	non-hostile		
5	"#unlock4guidelines - अनलॉक-4 के लिए गाइडलाइन्स जारी

- 7 सितंबर से देशभर में मेट्रो सेवा शुरु होगी
- 21 सितंबर के बाद रैलियों और बाकी फंक्शन में 100 लोगों को इजाजत
- कंटेनमेंट जोन में कोई छूट नहीं
- सिनेमाहॉल अभी बंद रहेंगे
- 9 से 12वीं के छात्र 21 सितंबर के बाद स्कूल जा सकेंगे. https://t.co/4e6lysg0VR"	non-hostile		
7	"देश में #Corona के रिकॉर्ड मामले  
#ZeeJankariOnCorona  
@Sheerin_sherry https://t.co/V6UddREAtW"	non-hostile		
8	"#JEE Exam center से निकले #Students को सुन बाकी छात्रों के साथ Parents के चेहरे पर मुस्कान आ जाएगी
https://t.co/TQ7nfIv0I0 https://t.co/gGCDYYEz6E"	non-hostile		
9	"#AkshayKumar जल्द ही बेयर ग्रिल्स के शो 'इंटू द वाइल्ड विद बेयर ग्रिल्स' में नजर आने वाले हैं। 

https://t.co/wGp2WS0wuM"	non-hostile		
10	"#जीवनसंवाद: हम संघर्ष करना चाहते हैं, क्योंकि सामने संघर्ष की मिसाल रखना चाहते हैं. नए शहर में इतना कुछ नया होगा कि हमें अपनी जड़ें जमाने में बरसों बीत जाएंगे. हम कर्ज में जरूर हैं, लेकिन हम हारना नहीं चाहते. वह भी बिना लड़े.
#JeevanSamvad
@DayashankarMi
https://t.co/nd7troF0JF https://t.co/CmAzq2Mj8S"	non-hostile		
11	"RT @_Pb_swain_: मोदीजी और जब सारा देश सेना के साथ खडी है,

पर दो सयाने विदेश मे पडे है?🤔 इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त न…"	hate		
13	"जब बीजेपी प्रवक्ता @sambitswaraj ने कांग्रेस प्रवक्ता @SupriyaShrinate को कहा हेड मिस्ट्रेस तो सुनिए कांग्रेस प्रवक्ता ने क्या जवाब दिया
#हल्ला_बोल @anjanaomkashyap #RE https://t.co/WWDYuWikCE"	non-hostile		
14	"बियर ग्रिल्स के साथ खतरनाक जंगलों में दिखेंगे अक्षय कुमार, जारी किया वीडियो

@akshaykumar
@BearGrylls

https://t.co/VPLwEQsqAv"	non-hostile		
17	"होम आइसोलेशन में रहने वाले लोग थर्मामीटर तथा पल्स ऑक्सीमीटर साथ रखें। यदि किसी को खांसी या बुखार आये अथवा सांस फूले तो तत्काल हेल्पलाइन नं. 18001805145 अथवा @CMHelpline1076 पर सम्पर्क करे: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP"	non-hostile		
18	"पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने 10 राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी

#PranabMukherjee https://t.co/egBXvOgC1w"	non-hostile		
19	"IPL छोड़ेंगे @harbhajan_singh ? @ChennaiIPL अधिकारी ने दिया अपडेट

https://t.co/9zFnEXdtAk

#HarbhajanSingh #IPL2020 https://t.co/z9Dpaffw3I"	non-hostile		
20	"#Saharanpur चेकिंग के बहाने उगाही करने वाले गिरफ्तार, 2 शातिर बदमाशों को पुलिस ने किया गिरफ्तार, स्कूटी, 2 तमंचे, मोबाइल बरामद किया, देहात कोतवाली पुलिस ने किया गिरफ्तार। @saharanpurpol @digsaharanpur @Uppolice #policemedianews"	non-hostile		
24	"प्रणब मुखर्जी ने 37 प्रार्थियों से जुड़ी 28 दया याचिकाओं को खारिज कर दिया. प्रणब से पहले राष्ट्रपति रहीं प्रतिभा पाटिल ने सबसे ज्यादा 30 लोगों को फांसी के फंदे से बचाया था. प्रणब ने सिर्फ सात की फांसी की सजा माफ की.
https://t.co/1G44U1OR4R"	non-hostile		
25	"लद्दाख के करीब चीन ने फिर से तैनात किए अपने J-20 लड़ाकू विमान, लगातार भर रहे हैं उड़ान-
#IndiaChinaFaceOff 

https://t.co/2VfWAZenTi"	non-hostile		
28	"ट्विटर पे बहुत से चूतिये मिलेंगे, जो साले हिंदुओं का विरोध करते हुए मिल जाएंगे... उनकी खुद की फेक id होती है, 
अब जैसे इसी चमन चूतिये को देखिए, पिस्टल पांडेय नाम रखे हैं और हिंदुओं के विरोध में लगे हुए है।
किसी का भाड़े का टट्टू होगा, विरोध करने के 100, 50 पा जा रहा होगा बस तभी। https://t.co/cwFuCzYP4O"	hate		
30	"CCTV में रिकॉर्ड हुई चोर की चोरी, ढेर सारे सोने के सिक्के बरामद किए गए  
@capt_ivane @DelhiPolice 
#Delhi 
https://t.co/CWo9EqedoG"	non-hostile		
32	"अब यह असंभव ही लग रहा है कि कोई ऐसा बंदा जो रिटायर हो चुका है और अब कोई क्रिकेट नहीं खेलेगा, वो CSK के लिए वापस आएगा. शायद, हो सकता है कि वह ऑक्शन में दोबारा जाएं और कोई दूसरी टीम उन्हें खरीद ले'

#CSK #SureshRaina
https://t.co/1PZ3fkb8Cj"	non-hostile		
33	"नई राष्ट्रीय शिक्षा नीति: तीन भाषा नीति को तमिलनाडु सरकार ने किया खारिज, कहा- दो भाषा पर ही होगा अमल

https://t.co/deEf7BQ4i3"	non-hostile		
34	"भारत की असंगठित अर्थव्यवस्था पर दूसरा बड़ा हमला है जीएसटी: राहुल गांधी
https://t.co/0CxyP0rMyU"	non-hostile		
35	योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो @myogiadityanath जी।	hate		
37	"शांतिप्रिय द्वारा मोहम्मद पैगंबर पर आपत्तिजनक टिप्पणी के लिए बैंगलोर में उपद्रव😠

और हमारे यहाँ #हीर_खान  जो नियमित रूप से हिंदू देवी-देवताओं को गाली दे रही थी।
 
Although Prayagaj remained peaceful..!!"	hate		
38	"जेईई: पहली पाली की परीक्षा खत्म, बाहर निकले स्टूडेंट्स ने कहा- कोरोना को लेकर डर था, लेकिन खुशी इस बात की है कि हमारा एक साल बचा https://t.co/9wHy3UhO11 #JEEMain #JEE"	non-hostile		
40	"प्रदेश अध्यक्ष @PankajSinghAAP जी की अध्यक्षता में आज भोपाल जोन के पदाधिकारियों की बैठक आयोजित हुई जिसमें 1 सितंबर से शुरू होने वाले ""ऑक्सीजन जांच अभियान"" के संबंध में प्रशिक्षण दिया गया व ऑक्सीमीटर वितरित किये गये।
@ArvindKejriwal @AapKaGopalRai https://t.co/6MmRnlg7Dh"	non-hostile		
41	स्	non-hostile		
42	"क्या इंसानियत मर चुकी है ? 

https://t.co/zCq7knxxjc"	non-hostile		
43	"बधाई हो मोदी जी
आपकी मन की बात को पूरे 100 हज़ार डिसलाइक मिल चुके हैं 😂 https://t.co/BUEX28Lfpe"	non-hostile		
46	क्या बात बोल दी शर्मा जी। 🙏🏼 https://t.co/OSfcYiR5Vq	non-hostile		
47	"सुशांत सिंह राजपूत की संदिग्ध मौत का राज खोलने के लिए दिल्ली से गई CBI की 'स्पेशल 6' टीम सुशांत के घर पर क्राइम सीन का रिक्रिएशन करेगी.
#SushantSinghRajput @pramodsharma29 

https://t.co/SIbE07nARS"	non-hostile		
48	"#Lucknow
सीपी सुजीत पांडेय करेंगे प्रेस कॉन्फ्रेंस, 
जरूरी मुद्दो पर होगी प्रेस कॉन्फ्रेंस, 
3 बजे पुलिस लाइन में होगी प्रेस कॉनफ्रेंस। 
@lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https://t.co/D9ZObVaNm0"	non-hostile		
50	"आम्रपाली की 28 परियोजनाओं की सूची ऑनलाइन, इसके निवेशक या खरीदार अपना नाम यहां ढूंढें
https://t.co/aHcisFPei8 via @NavbharatTimes 
#Amrapali #Property https://t.co/7OsydqiXdE"	non-hostile		
51	"अमेरिका तक को रास्ता दिखाने वाले दिल्ली मॉडल की प्लाज़्मा थेरेपी ने दिल्ली में सैंकड़ों लोगों की जान बचाई है। इंसानियत और भाईचारे का संदेश देती परमजीत जी की ये कहानी आपको ज़रूर प्रेरित करेगी। 

#DonatePlasmaSaveLives https://t.co/FmCuQMN7Ix"	non-hostile		
53	"देश की एकता, अखंडता और सम्प्रभुता की रक्षा के लिए निरस्त किया गया अनुच्छेद 370 : उप राष्ट्रपति @MVenkaiahNaidu 

 विवरण : https://t.co/622CJ2Wnoj"	non-hostile		
55	"Sudeep Birthday: इंजीनियरिंग की पढ़ाई के बाद एक्टिंग की दुनिया में आए किच्चा सुदीप, जानिए और भी कई रोचक बातें
@KicchaSudeep
https://t.co/M19d7IVo8Q"	non-hostile		
56	"#TaalThokKe : रिया के खिलाफ बड़े सबूत !

#SushantKaSachKya पर ट्वीट कर दें अपनी राय 
Watch LIVE - https://t.co/gfUtRWrNnZ https://t.co/CM6RAyayME"	non-hostile		
57	"आज एक बैंक्वेट हॉल में हमने 100 बेड का कोरोना सेंटर शुरू किया। हर बेड पर ऑक्सिजन है। अब इस तरह से पूरी दिल्ली में कई बैंक्वेट हॉल में करोना सेंटर बनाए जाएँगे।

#DelhiFightsCorona https://t.co/EUnpnPlB5q"	non-hostile		
62	"बिहार में चुनावी मुद्दा बना सुशांत सिंह राजपूत की मौत, BJP ने दिया नारा, "" न भूले हैं, ना भूलने देंगे""

@kumarprakash4u  की रिपोर्ट

https://t.co/HCp3i2VURp"	non-hostile		
63	बेंगलुरु में कोरोना से ठीक हो चुकी मरीज़ को दोबारा संक्रमण का संदेह https://t.co/eU5cqZqNUb	non-hostile		
64	"#IndiaFightsCorona: 

📍सार्वजनिक स्थानों थूकने से #कोविड19 का संक्रमण फैलता है।

➡️सार्वजनिक स्थानों पर थूकना दण्डनीय अपराध है।

#StaySafe 

@drharshvardhan @PrakashJavdekar @UNinHindi
@airnewsalerts @DDNewslive @PIBHindi @ndmaindia
@swachhbharat

Via @MoHFW_INDIA https://t.co/3gV6NBv2H6"	non-hostile		
66	"IPL से पहले प्राइवेट बीच पर मजे ले रहे हैं @lionsdenkxip के खिलाड़ी

 https://t.co/WKmZJCuSpc

#KXIP #IPL2020 #IPLinUAE https://t.co/dXuLnXisgv"	non-hostile		
69	"क्या चालू वित्त वर्ष की पहली तिमाही में जीडीपी के खराब आंकड़ों के लिए कोरोना आपदा जिम्मेदार है?
#GDP #CoronaPandemic #IndianEconomy"	non-hostile		
70	"#Moradabad 
होटल मैनेजर की आत्महत्या का मामला, 
पत्नी,साली समेत 4 लोगों पर केस दर्ज, 
जहर खाते समय बनाया था वीडियो, 
पत्नी-परिजनों को बताया मौत का जिम्मेदार, सिविल लाइन थाने में दर्ज हुआ है केस। @moradabadpolice @digmoradabad @Uppolice #uppinnews #UPPolice #policemedianews"	non-hostile		
