text,label
@Anand_Dasa88 राजकारणातला सर्वात दलींदर आणि काळ तोंडी माणूस कोण आसेल तर हा,OFFN
@BambulkarB @PoulAyodhya @rautsanjay61 @PawarSpeaks @priyankac19 @ShivSena @NCPspeaks @AUThackeray @SardesaiVarun @iYashwantJadhav आररर पिदाड्या पाहिले तू टाईप करायला शिक नंतर तुझं नसलेलं डोस्क वापर केळ्या...😂🤣,OFFN
"@RChormalle @PuneriSpeaks @CPPuneCity @Pune @PuneTimesOnline ल ऐवजी ळ बोला महोदय. फराळ , दिवाळी, टिळक असे शब्द आहेत ते",OFFN
@abpmajhatv भोसडीच्या हो आले का वकील पत्र घ्यायला ?,OFFN
पावनखिंडीत महाराजांचे ३०० मावळे ५००० मुघलांवर भारी पडले. दिल्लीत मोदीचे ३३४ खासदार आमच्या २०९ खासदारांना अंगावर घ्यायला घाबरतात. जीव द्या भाड्यांनो- शिवबंधनात गुरफटलेला मित्र मोदीची तुलना महाराजांशी केली असं म्हणत उद्या भोकाड पसरलंस तर कुत्र्यासारखा मारेन भडव्या- अस्मादिक,OFFN
@KiritSomaiya बोबड्या गुलामा आता तुझं थोबाड पण पाहू वाटत नाही उपऱ्या,OFFN
@Ajitshinde_28 @NilAshSpeaks @nawabmalikncp तु नक्की 100% वाकडतोंड्या लाळगाळ्याची लाळ चाट्या दिसतोस... 😁😁😁😁,OFFN
"तो जातीयवादी किरण माने सेटवर महिलांना त्रास द्यायचा म्हणून हाकलून दिलेय तर इकडे बोंबलतोय राजकारणामुळे हाकलून दिलेय, भाजपा तुला गीनतच नाही तर तुला हाकलून द्यायला कशाला लावेल, तुझ्या कर्माने तू हाकलला गेलाय भामट्या....आणि अशांना पाठीशी घालून राष्ट्रवादीने त्यांचे महिला धोरण दाखवले!",OFFN
"@VedantShree @Mnorma7 अरे #बुरखाधारी_बाईल्या, तुम्ही #लावारीस लोक, ""ही"" का ""हा"" का ""हे"" च कोणाला कळत नाही!! जसा #प्रश्न तस #उत्तर तर तयार असणार ना!! 😂😂😂😂😂😂 https://t.co/gjC9Jqyqjl",OFFN
"@BhausahebAjabe @nawabmalikncp कसला घंट्याचा घाम. ""माझा विरोध भाजपला नसुन,चुकीच्या व्यक्तिला आहे"" मलीक हे बोलला याचा अर्थ त्याने शेपुट घालायला सुरुवात केलीय..",OFFN
@Mohanggg1g @BhatkhalkarA तु अक्कल सिकवु नको भडव्या तुला कोन विचारतोय 😡😡😡🤦🏻‍♂️,OFFN
"@meNeeleshNRane अरे भुसनाळ्या त्यांना मदत करतेत पण तुम्ही तर त्या पण लायकीचे नाही की,,,🖕🖕🖕",OFFN
@meNeeleshNRane या ठाकरे सरकारचे दिवस भरले...लाचार कुत्रा मान झुकवून झुकवून operation करायला गेलाय....#निचसरकर #निचसेना,OFFN
"@aher_narendra ""हागऱ्या तोंडाच्या बाजारू""...हे नाव मस्त आहे 😂😂😂",OFFN
"@sherkar_ramdas @AUThackeray @ShivSena या तुमच्या साहेबांना अभ्यास,परिक्षा,स्पर्धा परिक्षा,त्याचा ताण,परिक्षा केंद्रावर पोचण्यासाठी करावी लागणारी पैशांची सोय, धावपळ...हे या मठ्ठ घराणेशाहला कसे कळायचे. गेलेत हे स्वप्निल लोणकर, परवा दुसर्या एका तरूणाने आत्महत्या केली...या लोकांचे दुःख समजावून घ्यायला?Useless.",OFFN
@S19MA27 @MeNarayanRane @PMOIndia उद्धव ठाकरे दात पुढे असलेल्या कुत्र्या सारखा दिसतो....,OFFN
फालतू दोन कवडीचा माणूस कोणाबद्दल बोलतोय बघा. आधी स्वतः ची औकात बघ मग बोल. काहीतरी कर्तुत्व असतं तर असा साहेबाच्या दारांत बांधलेला कुत्रकार झाला नसता.,OFFN
@VinodSh51145356 @CMOMaharashtra नशीब त्यात अजून फालतू बडबड नाही ऐकवली| पुचाट व्यक्तीमत्व,OFFN
@BhatkhalkarA अरे बिनकामांच्या आमदारा महारजांच्या पुतळ्याची विटंबना झाली तेव्हा कुठल्या गटारात तोंड घालून बसला होतास.🤬🤬🤬,OFFN
