text,label
ते साड्यांची वअजागळ सूटची किम्मत व पार्टीत किती खर्च झाला ते चीचा ट्वीट करणार का?!!दहेज कितना दिया?,HATE
घोटाळेबाज सेनेचा आमदार प्रताप सरनाईक यांच्या घरी ईडीची रेड*😡 *केंद्र सरकार सत्तेचा गैरवापर करत आहे असे मेसेज कधीपासून फिरवायचे*😅 *रडके* *आली अंगावर ढकलली केंद्रावर*🤣🤣 https://t.co/KvPx0lgDrN,HATE
ज्याच्यावर 50 लाखांचे इनाम सरकारने लावले होते त्या राक्षसाचा उल्लेख आदरार्थी करत आहे याची चौकशी करून तुमच्या टीम ला आत टाकले पाहिजेहरामखोरपणा आहे हा,HATE
मोदी-भाजपद्वेष आणि भारतद्वेष-देशद्रोह ह्यातील पुसट रेघ ओळखा भडव्यांनो,HATE
"सुरुवात कुणी केली होती..? गुजराती ड्रग्ज माफिया ने मोदीसरकार च्या पाठिंब्यावर फडणवीस सरकार व केन्द्रिय संस्था ना हताशी धरून जो उच्छाद मांडला होता ते कंगना, अर्नब, परमवीर सिंह व समीर वानखेडे आता जनतेसमोर येऊ लागल्याने भाजपा नेते काकुळतीला आले आहे..!",HATE
"@Shindenileshk @sachin_inc सगळे काँग्रेसी हे खरंतर खानग्रेसी आहेत, जन्माला येताना सुंता होऊनच जन्मलेत.",HATE
आहेत? हा नक्षली होता की तुमचा जावई इतका मानसन्मान द्यायला? जनाची नाही तर मनाची तरी लाज बाळगा.,HATE
@TV9Marathi कोणाचे कसे भांडणे लावून देयचे हे या भिकारचोट पत्रकारांना पक्के माहीत आहे.,HATE
@IndiaToday @AishPaliwal बोलविते धनी आले. फडणवीस नीच माणसाने या नशेडी ला हाताशी धरून महाराष्ट्राचा अपमान केला लोक मुर्ख नाहीत,HATE
@Awhadspeaks याचा अर्थ हे लोक किती निच वृत्तीची आहेत हे सिद्ध होते,HATE
"दिवाळी-गणपतीत फटाके- ढोल पसुन त्रास होतो पण जेव्हा हे हरामकोर पवित्र महिन्यात काही रस्ते पुर्णपणे बंद करतात तेव्हा प्रशासन , मिडिया , धर्मनिरपेक्ष लोकं कुठे असतात",HATE
@BadeVilas सोन्याची अंडी देणारी कोंबडी आहे #st तिला कोण कापणार तिथं फक्त सेना राष्ट्रवादी ची मक्कतेदारी आहे सर कामगारांना 7 वा वेतन आयोग लागू केला तर यांच्या संघटना बंद पडतील ना #भिकारचोट राजकारण,HATE
नवरा मेला तरी चालेल पण सवत विधवा झाली पाहिजे महाराष्ट्र बदनाम झाला तरी चालेल पण काँग्रेस संपली पाहिजे,HATE
हा भाकरीचा जाहीरनामा.. हा संसदेचा रंडी खाना.... ही देश नावाची आई.... राजरोस निजते कुबेराच्या सोबत.....,HATE
@abpmajhatv @CMOMaharashtra गाढवांनो.. त्याला पहिलं हे विचारा असलं अनधिकृत बांधकाम करण्याचं धाडसच का केलं ?? https://t.co/xrpCL20Efp,HATE
"खोटे बोलून मूळ प्रकरणाला फाटा मारून राजकीय वादंग निर्माण करू पाहणाऱ्या खोटारडा माणसासाठी @MahavikasAghad3 च्या सर्व नेत्यांनी ट्वीट केले परंतु काल एका पुण्यातील तरुणाने
आत्महत्या केली त्याच्याबद्दल कोणत्याही नेत्यांने संवेदना ही जाहीर नाही केल्या #ShameOnYou @CMOMaharashtra",HATE
लोक मूर्ख नाहीत त्यांना नौटंकी समजते; मराठी पाट्या लावून तरुणांना नोकऱ्या देणार का?-खा. जलील @imtiaz_jaleel @OfficeofUT @aimim_national https://t.co/DS9ZW285QA,HATE
तुम्ही न्यूज वाले आहात की दारातील कुत्रे काहीच कळेना!?,HATE
@BJP4Maharashtra बीजपी वाल्यानो नारायण तुमची शोभा घालवतोय.आधीच तो राष्ट्रीय पनवती आहे.तुम्ही ओडून घेताय आणी.,HATE
"इलेक्शन झाल्यावर सगळ्यात आधी पोल दाखवणारे तुम्हीच, खोटे आकडे देणारे तुम्हीच, एकाच पक्षाची गांड धुणारे तुम्हीच, पत्रकारितेला रांड बाजारात उभे करणारे तुम्हीच",HATE
हो या हर्षदा सारखेच भिकारचोट पत्रकार असतील ते.,HATE
"@AnaghaAcharya तसे म्हणायला गेले तर बाळा साहेब ठाकरे ओपनली शिव्या द्यायची ""तुझ्या आईला झ***"" ही तर शिवी इतकी फेमस झाली त्यांची मग त्या मनोवृत्तीला कसे ठोकणार?एका
स्त्रीला हरामखोर बोलणाऱ्या मनोवृत्तीला कसे ठोकणार?कसंय ना तुमचा भ्रमाचा भोपळा फोडायला 1 min. पण लागत नाही इतक्या नीच पातळीवर आहात.",HATE
"या देशात असे पत्रकार आहेत जे QR कोड घेऊन भीक मागत फिरतात 😂😅 अशा पत्रकारांना पाकिस्तानात पाठवले पाहिजे भिकारी साले 😂😅 लायकी नाही तरी पत्रकार
म्हणवतात स्वतःला",HATE
शाहिद आफ्रिदीची जागा अत्यंत सन्मानपूर्वक आमीर खानला देऊन मुंबईकरांनी मनसोक्त फटाके फोडले..,HATE
"@PratapPingale1 @CommonManDotCom @TV9Marathi मुघली आवलादी तुम्ही आहात, म्हणून कटव्या सोनिया सेनेच्या ताटाखालचे मांजर झालात🤣🤣😂😂",HATE
जनता मविआला चांगलंच ओळखून आहे ..नौटंकी बंद करा.. #मविआ #फशिवसेना #चिवसेना https://t.co/KCcQ1OhWZ0,HATE
हि असली थेर तुझ्या सारख्या जातीय वादी गटारछाप किड्यांना सुचतात 😂😂😂,HATE
जर अस भारतात झाले असते RSS चे शेंबडे #लवजिहाद_आतंकवाद नारा घेवून हिंदू - ख्रिचन करून ज्ञान पाजलायला आले असते...,HATE
"@TV9Marathi @uddhavthackeray @rautsanjay61 @ShivSena @PawarSpeaks @NCPspeaks @INCMaha @BJP4Maharashtra लोकांनो,बघितले हे नालायक,गेंड्याच्या कातडीचे निगरगट्ट महाभकास वसुली गॅंगचे नेते? इतक्या आत्महत्या केल्यात आमच्या एसटी कर्मचार्यांनी पैशाअभावी.हे अजूनही अंडीच उबवताहेत.Useless corrupts.😡",HATE
@aSantoshTweets खाकी चड्डीत ले आणि दुसरे कोण? कारण शिवरायांनी जात पात झुगारुन् सगळ्यांना एकत्र केलं आणि सामान दर्जा दिला. हे या लोकांना झोम्बल् नाही.,HATE
