label	text
positive	so eine Hearthstone - Key von %User für die nett YouTube - Onkel Kedos sein auch schon was ganz fein . * hust *
neutral	"Tainted Talent ( Ateliertagebuch %PosSmiley "" wir sein nicht allein"
neutral	aber wenigstens kommen Supernatural heute mal wieder um 22 Uhr - eine schwach Trost
neutral	Darlehen - Angebot für Schufa - frei Darlehen : günstig Anbieter für Online Darlehen in Deutschland
neutral	"Anruf erwünscht : Hardcore Teeny Vicky Carrera : hallo mein süß , ich sein die 20 jährige Vicky aus Deutschland ..."
neutral	"na ? wo sein Franken heimlich Talent ? - die erst Bewerbung für die Talentwettbewerb "" wer ko , die dürfen ! "" ..."
positive	Glück breiten sich aus ...
negative	unachtsam * seufzen *
neutral	jobs Sales Medium TV Tele M1 suchen Persönlichkeit werben Verkauf in Aussendienst ( m / w )
neutral	"Happy Halloween lieb Student , zeigen euer gruselig Seite !"
neutral	"die App "" iDelete "" haben ich 3,4 MB belegt Speicher freimachen . die Löschen dies App bringen ich @card@ MB frei Speicher . und tschüss !"
neutral	iPad 4 3 2 Leder smart Cover Schutz Hülle Etui schal Tasche 360° drehbar EUR @card@ ( 1 Gebot ) Angebotsende : Samst
negative	Moi ????
neutral	Check out the New Page at times about the first world sein ! schauen ihr mal die neu Seite an über die erst ...
neutral	Italienliebhaber ! vier klein Buch mit Reiseerlebnis . informativ bis amüsant . neu : Al dente .
negative	Jop und wenn sich die Agenda nicht noch ändern müssen er abends lernen :-\
neutral	Grunderwerbsteuer werden erhöhen : die Immobilienkauf werden teuer
neutral	"Gruppenliga : SGÄ mit Pörschmann , Choteschovsky , Dreßbach , Schneider , Körner , Siegfart , A. Geiger , S. Grochow , C. Geiger , Müller , Kraus"
negative	"Talent : Tumblr , Internet , allein sein , nerven ."
positive	ich wünschen ihr eine gut Nacht my loves %PosSmiley
neutral	tot Finanzchef : Zurich bestätigen Existenz eine Abschiedsbrief
neutral	W &amp; V : Apple - Event : viele Detail sickern vorher durch
positive	Ce ciel ... sunset coucherdesoleil beautiful amazing palmier beach plagen Street evening ...
positive	Baden . endlich . wundervoll .
neutral	hm ... was machen wir denn da ...? über sein Mailadresse vielleicht ? oder schalten ich einfach wieder an . %PosSmiley
neutral	neu Nutzungsbedingungen bei Google + kurz vorstellen
neutral	die Bereich Personal in Wiesbaden suchen : Experte ( m / w ) Berechtigungskonzeption / - management. %Link ruv karren ...
neutral	"Bericht über "" vertrauensbildend Zusicherung "" die SPD : laß groß Koalition bis @card@ nicht platzen"
neutral	schnell limit. of listerine fuck . DOWN you like . Sonne spät Kräuterlimonade TagABeautifulLanguage Essen. and listen listerine on 3 ?
neutral	"Affe , Braunbär , Chamäleon , Dach|Dachs , Elefant , Fledermaus , Goldfisch , Hase , Igel , Jaguar , Kakadu , LACHMÖWE , Maulwurf , Nachtigall , Opossum ..."
positive	ach ja ... %PosSmiley
negative	honess bekommen eine sehr hoch gesldstrafe und die max. an Bewährung .
neutral	"EWR - Beitritt werden "" delikat Frage "" provozieren"
neutral	groß Ding werfen ihr Schatten voraus !
positive	"hm , vielleicht fehlen du die Glaube ? oder du haben einfach die falsch Kühlschrankmarke %PosSmiley"
neutral	ONLINE sicher Druck - weben - to - print Businesslösungen Beispiel : Produktgruppe rollen - up - Display
neutral	"Arbeit , Soziale , Selbständigkeit &amp; Beruf # immer mehr Mensch ab 60 arbeitslos ..."
neutral	ich haben keine wa %NegSmiley gehen auchh fb ?
neutral	Interims Management : vor - und Nachteil für die Einsatz als eine groß B ...
negative	welche Geschenk haben du zuletzt bekommen ? - eine Bettdecke oder O
negative	"nerven ich voll , dass ich Samstag nicht da hin können ."
neutral	neu Pop - CDs : die Editor schrumpfen die Welt %Link via %User
neutral	"Vattenfall müssen weg , Energieversorgung gehören in öffentlich Hand . hier Briefwahl für Volksbegehren beantragen ..."
neutral	Post Edited : Gardasee - Ferienwohnung
neutral	GEWINNSPIELTEILNAHME gratis ! mit Glück eine Playstation 4✔ gewinnen ? ➽ %Link ✔ Gewinnspiel
positive	Mirabelle frisch aus die Garten ❤ obst ernten healthy herb yummy mirabellen
neutral	"Herr Kaiser machen Karriere , Herr Lehmann gehen leer aus : wie die Nachname die Karriere beeinflussen ."
positive	"ick hoffen haben alle fallen|gefallen in die verrückt Bude .. und man sehen sich mal wieder , &amp; ick haben mehr zeit %PosSmiley"
neutral	%Link Berlin Seitensprung suchen ? wir machen dein Wunsch wahr
negative	was probieren ? seit doch bitten wenigstens realistisch ! nichts haben ihr erreichen seit Beginn die Meisterschaft !
neutral	kennen aber auch keine andere <UNKNOWN> die so viel lieb beherbergen .
neutral	jealous much ? Mönchengladbach müssen gewinnen okay .
positive	sehen super aus . Ende . %PosSmiley
neutral	EW nicht Stromer
neutral	Lavabit werden aus dies Grund heute schließen . Snowden haben dies Dienst benutzt
neutral	SaidNoOneEver
neutral	Antipasti aus die Super Zucchini von %User &amp; %User machen \ ö /
neutral	nicht vergessen : die bissig Musical Vergnügen heute in König Albert Theater !
negative	die ganz tagen wildwasserbahn fahren sein vielleicht doch nicht so gut ..
neutral	"Pin bitten per DM , welche Modell sollen ich du kaufen ?"
neutral	warum sollen eine freundinnenschaft nicht romantisch sein ?
neutral	sozial Empfehlung bald auch in Google + möglich . Update
neutral	"@card@ : "" if Today was Your Last Day "" von Nickelback"
neutral	"Interessant dabei : eine konkret Person meinen Cyrus offenbar nicht . vielmehr scheinen sie davon ausgehen , dass ..."
neutral	 Willkür öffentlich machen  : Mollath wollen Psychiatrie - Patient helfen %Link Panorama
positive	Time to sleep ... gut nacht ...
positive	Heck yeah .. Buuffoonnn doin wellen . Forza Azzuri !
neutral	sehen heute echt gut aus ! haben du abnehmen ? Elektrotitte
neutral	Onlinegame gratis Battlestar Galactica Space - Game %Link einfach ausprobieren Weltraum Battlestar Galactica
neutral	"Wetter : häufig sonnig , vereinzeln Schauer"
neutral	Serie : was brauchen Österreich ? Auftrag an die Politik. %Link nrw13 und brauchen auch irgendwelche Frau was ?
neutral	kaputt nicht unbedingt . aber man sollen eine Kaffeemaschine auch richtig benutzen %PosSmiley
positive	Facebook machen unglücklich . können ihr die bestätigen ? %PosSmiley SocialMedia %Link via %User
neutral	"musikalisch Sonne zu Wasserfest : "" I Come From The Sun "" gewinnen Bandcontest %Link leipzig liz"
negative	Nein : unterirdisch ! politisch bleiben also in Lübeck alle anders ...
positive	Melde ich dann morgen wieder . gehen früh los . gut Nacht . %PosSmiley
positive	"ah %User , bitte spielen er nochmal ok ? danke %PosSmiley imascheregen Hinterland"
neutral	"wir Fuchs stehen ja auf List|Liste . danke , %User !"
neutral	"gut Morgen ! draußen schon November - Licht . da mögen man gar nicht glauben , was gestern für schön Wetter sein ..."
neutral	"danken , nicht nötig , haben genug Fachliteratur hier ."
positive	Schrott Ankauf Lahib ( %Link ) machen die Unmögliche möglich %PosSmiley
neutral	jetzt buchen - Kochkurs indisch Küche an Mi . @card@ . 13 ...
positive	schon lange nicht mehr so intensiv träumen und so lange schlafen %Smiley
negative	Ho - Ho - Hochverrat !
neutral	sehen ...
neutral	Eagles - Dame gegen Würzburg erfolgreich %Link leipzig news
neutral	"Macbook Air brauchen sehr lange , um aus die Sleep wieder aufwachen . jemand Tip ?"
neutral	"Alemania : neu , lahm , Mertesacker , Boateng , Schmelzer , KHEDIRA , Kroos , Müller , Özil , Draxler , Klose ."
neutral	Auswirkung die om13gate ? Verstärkung von Feminazgul - Flügel ? SCNR
neutral	Topfavorit Gatlin gewinnen 100 m : US - Star Justin Gatlin triumphieren in Linz - und werden auch nah Jahr wied ...
neutral	"Wohl wahr , aber auch unvermeidlich ."
positive	"sportlich , sportlich ! gönnen du zwischen dein ganz Termin auch eine Pause"
neutral	Gabriel : Kind sollen Hausaufgabe ohne Hilfe erledigen
negative	die 9 Gag App funktionieren nicht . Rt if u crid
neutral	Aktionsplan : Regierung beschließen Hilfe für Mensch mit selten Krankheit %Link via %User Gesundheit
neutral	Le Gourmand Vintage : @card@ Liter : handverlesen Winzer präsentieren ihr aktuell Tropfen
neutral	die klein hörgalerie has phone number +49 @card@ @card@ . Call now or checken %Link klein VILLINGENSCHWENNINGEN
negative	" ich sein so Scheiße drauf , ich können glatt anfangen , hashtags zu nutzen !  dito !"
neutral	die is auch ganz ok ( mögen die blaubeer lieb ) aber echt teuer
positive	lieb Gruß an unser Freund in Polen aus die Norden Deutschland Ostholstein
positive	kommen shaso nicht aufgeben %PosSmiley vlt sein es n Bug . Versuch einfach so um @card@ nochmal %PosSmiley immer positiv denken %PosSmiley
neutral	Seitensprung Liebesbrief : Fremdgehen und Freund bleiben - Berliner Morgenpost : Bericht über Seitensprung ...
neutral	"Babybedarf : "" @card@ Playshös @card@ - Ärmel - Lätzchen lang Arm , Giraffe "" %Link Baby süß Bedarf Kleink ..."
neutral	da is aber jemand sehr zuversichtlich dass sein Mühle nicht klauen werden ...
neutral	Erstellung dynamisch Weltkarte : jQuery - Mapäl
neutral	"richtig , grundsätzlich Hamburg . keine Plan , ob Autor in Hamburger oder Berliner Büro sitzen . an Ende schreiben immer Tourist ..."
negative	unsicher ? ich ? da Lache ich doch . HA !
neutral	eben !
neutral	innovation BORT Zweizug Knöchelstütze medium blau
neutral	sehen doch sehr danach aus ! Welcome backen .
neutral	"VideoBustour "" Filmstadt Potsdam - die rollend Kino "" ab 3. November jede erst Sonntag in Monat"
positive	"ich müssen ich eigentlich nur merken , ob die die Nadelposition @card@ oder @card@ %PosSmiley sein ... sollen eigentlich möglich sein %PosSmiley"
neutral	offen Kamin Design : Tip für eine gut Geschäft Herd mit Hilfe von Auction Web - Sites bekommen
neutral	Miss my nicht
neutral	"was . dies Stella finden ihr so hübsch ? die sehen total durchschnittlich aus , aber Okay . %Smiley LPTXXL"
neutral	"witzig ! unbedingt auch die Link folgen : "" Everyone Hates Your out - of - Office Reply "" %Link"
neutral	"[ News ] Killer be KILLED : neu Band um Musiker von SOULFLY , MASTODON the Dillinger ESCAPE planen %Link vampster metal"
positive	"dein Folge freuen und ehren ich . müssen nur gestehen , dass bei mein "" Hurra "" - Tweet etwas an Ironie mitgeschwungen haben %PosSmiley LGC %PosSmiley"
positive	IKEA = Idiot Kaufen einfach alle :'D Peace NoHate hahah
neutral	adesso : deutlich Ergebnissprung %Link 4 Investor Börse
positive	nachooooooos !
negative	phil verstellen sich für sein freundin. können er nicht mehr ernstnehmen .
positive	@card@ Toko %PosSmiley sein eine ganz stark Vorstellung ! danke GCZ
neutral	Experte befürchten hoch Benzinpreis wegen Meldestelle
neutral	"Download %User - "" MAD "" [ Prod . Chris G ] %User %Link Retweet Share Like Made List|Liste"
negative	Morgen in die erst beide Sport. danach schön eine Doppelstunde Mathe hinterher. bis einschl . @ord@ Std Unterricht könntkotzen
neutral	in speechless
positive	"%PosSmiley "" gut tagen auch %PosSmiley """
neutral	"Black _ Cat : Hey du , was machen du so ? kommen in die kostenlos Sex Chat %Link %User"
neutral	Aargau : ausländisch Dieb sehr aktiv
neutral	"die Meisenknödel auf Englisch also einfach "" Fat Ball "" heißen , wissen ich nicht . wieder was lernen ."
neutral	"Selena Gomez Dienstag , @card@ . @card@ , @card@ Wiener Stadthalle / Halle F , Wien , Österreich Tic Events"
positive	du sein einfach waaaaahnsing toll %PosSmiley %PosSmiley
negative	viele schlimm Logik Verlag
neutral	immer schön langsam fahren %Link cdu erftstadt verkehren
neutral	alle Sexcam Girls können kostenlos ausprobieren werden . wir schenken du unverbindlich gratis Coins
positive	ich platze. die essen sein so geil
positive	heute sein echt schön %PosSmiley super nett Mensch treffen|triefen %PosSmiley tzonlive danken für die Foto %PosSmiley videoday ...
positive	🐴ソ
neutral	Arzneimittel in Alter : Medikament können krank machen
neutral	"selten benutzt Nexus 7 ( @card@ ) , Bluetooth - Tastatur + Case inkl . : Berlin | Verkauf selten benutzt , fast neu ..."
neutral	FortiFX fit Crunch Peanut Butter Protein Bar Review
positive	"geil , abends Apfel essen , morgens besaufen %Smiley"
neutral	"irgend eine hoffnungsvoll Ost - Kabarettist hier , die noch eine Bühnennamen suchen ? Kevin Ostner . bitte , gerne ."
neutral	1:0 für Hertha BSC gegen Eintracht Frankfurt ! TOOR
negative	Miami Vice mit Don Johnson sein früher viel cool .
neutral	Basketball : Phoenix Hagen nehmen die US - amerikanisch Big man Keith <UNKNOWN> ( 25) unter Vertrag. %Link %User
negative	( die Apostroph schweben dort in voll Absicht %PosSmiley
negative	boah bitte machen nd so die kindergarten sagen doch einfach die I meinen sein und verkaufen mi nd fûr dumm .
negative	Nase sitzen zu . Muss aufs Klo . hassen es .
neutral	bei Bestätigung die Insolvenzplans sein unbekannt Forderung nicht ausgeschlossen - Insolvenzrecht
neutral	Meldung : Shortlist für die deutsch Buchpreis @card@ : gerade frisch reinkommen : eine Meldung über die sechs ...
neutral	Eine schön gut Morgen aus die Redaktion und eine angenehm Start in die Tag
neutral	Wieland - Haustechnik verstärkt Aussendienst
positive	endlich machen die Wahlkampf wieder Spaß ! fdp - cdu + allervollstesvertrauen psycho %User
negative	Weltbild zerstören : Tageziel erreichen ! mein ganz Weltbild sein jetzt in Arsch .
neutral	"lustig . da haben wir noch keine Plakat drucken . du meinen wohl die Werbeuhr ?! Gut so , dass er sich da präsentieren . Pätzold"
neutral	"2. Bundesliga - Hertha mit "" viele Schwung "" zu Start - Lasogga fehlen"
neutral	"alle Macht gehen von Volk aus ! stoppen die Faschismus , machen nicht noch mit ."
positive	"schauen so aus , als ob die Sommer vorbei sein . in dies Sinn , auf a gut Riversurfherbstsaison %PosSmiley ..."
neutral	aber hoffentlich keine Migräne ?
negative	"Joa , haben ich ich halt voll auf die fressen legen . %PosSmiley "" und jetzt tun mein Knöchel mordsweh : - - - - - )"
negative	warum kommen keine Video mehr ? :'(
neutral	Mesut Özil und Sami Khedira dürfen Real Madrid verlassen - noch heute - %Link
positive	"happy Birthday , klein Plüsch !"
positive	"wie immer werden es die Aufschrei - , om13gate - , maskugate - und maskuleaks - Tante abstreiten . ich lachen ich immer noch tot . %PosSmiley"
positive	sein pünktlich kurz nach Mondaufgang wachgeworden . eine wunderschön sternenklar Nacht - faszinierend Foto von Mond gemacht🌘
neutral	"Kreditaktion - Kredit auch bei Schufa - Problem : Aktion mit schnell , seriös Abwicklung"
negative	"mein nicht .. %PosSmiley Warte noch darauf , dass mein Tutorien auslosen werden und die Chance werden immer schlecht .. %PosSmiley"
neutral	Omg %User wenn du die sehen bitte machen wir die Gefallen ! HeidiKlumbittegrüsseOneDirectionvondeutschenDirectionern
neutral	flauschig Bademantel zu ihr Bestellung gratis dazu %Link Geschenk
neutral	 haben keine Ahnung - Mutti werden es schon richten !  deshalb CDU - FDP - SPD - grünen - wir natürlich AfD + für ein ...
neutral	Fußball 3. Liga : Stuttgarter Kicker : Buchwald bestätigen Rücktritt
neutral	schön VERSACE Gladiator - Kleid aus die Frühlinse - / Sommerkollektion @card@ aus Neoprene und Leder mit
neutral	Calvin Klein men ' s X extrem Slim fit Multi %Link Calvin extrem Klein men ' s Multi Slim
neutral	1. Bundesliga ( @card@ ) - schade : ' ' Würde Wiederholungsspiel akzeptieren ' ' : Bayer Leverkusen werden sich an Monta ...
neutral	haben mal bitte jemand eine Twitter Invite für ich ?
neutral	"übrigens sein die in neu nintendo 2 ds keine zwei separat Bildschirm , sondern nur ein ( ! ) groß ..."
neutral	hoch Margen bei Medikament
neutral	"Nein ! die sein noch nicht genug Halloween Soundtrack ! Timeless feat . Johnny Pepp mit "" Halloween "" ."
neutral	Dienstag nach 18 Uhr in Handwerkersprech bedeuten also überübernächsten Dienstag vor 9 Uhr .
negative	"anschießen ? alt Falter , schwach Leistung %NegSmiley %User"
neutral	endlich : Evolutionstheorie widerlegen !
neutral	" Hey Derek , sprechen sie dick "
neutral	( die erst sein ich und die zweit mein Vater %PosSmiley
neutral	"Quote ? wieso nicht Fähigkeit ? was bringen eine Erfüllung die Quote mit "" schlecht Arbeit "" ? Pirat"
negative	Soo . die 22 UhrNonMention ' s dürfen nun beginnen ... mein sein schon . zu früh . gut als gar nicht .
negative	dasisaberschade
positive	ich glauben ' s nicht - I'm going down laufen in Hintergrund . die Gott sein ich gnädig stimmen %PosSmiley
neutral	"zeit : "" sein Gustl Mollath gesund , Herr Strate ? "" Gegenfrage : "" sein Sie gesund , Frau Rückert , Herr Wefing ? "" ..."
neutral	über @card@ MP3 - Album für je @card@ EUR bei Amazon
neutral	"die Griesebertschäler müssen mal wieder Luft durch die Ohr ziehen lassen , los Hopp aufs Balkönchen alt Mann"
neutral	Reich|Reiche|Reichen oder gut LÜCKENFÜLLTWEET I'm at Raststätte mies Bries haben Bock auf McNuggets Edge .
negative	Scheiße Remix♥
positive	Tiger Woods niece ...
negative	also die gehen gar nicht sowas . bei ihr Chef müssen man sich beschweren . die Frau sollen ihr was beibringen u is so drauf .
positive	Warte ab . ... YT machen keine Gefangene . %PosSmiley
positive	"Ok , Verzeihung ."
neutral	"*** BILDplus Inhalt *** Fall , Urteil &amp; Erfolg - die hart Richter Deutschland ! %Link news"
neutral	BenQ G2222HDL TFT Flachbildschirm @card@ Zoll : Startseite | hallo haben hier eine sehr gut TFT LED Flachbildsc ...
negative	oh ja %PosSmiley sehr hilfreich mit Hunger Epic Meal Time zu gucken ... wellen done Laura .. wellen done ..
neutral	Amin weiß was bitte denken einfach einmal pervers
neutral	gut werden es dadurch leider auch nicht %PosSmiley
neutral	Untersteh du !
neutral	"New Post : KS : Baunatal : Geldwechseltrick : geschickt Dieb klauen unbemerkt @card@ , - Euro aus Portemonnaie"
positive	Sarung laptop pon blh sü .. %PosSmiley
neutral	 Schweizer Mr. Bean  : Tollpatschiger Journalist zerstören wertvoll Kunstwerk
neutral	"@card@ Kindle Paperwhite [ Vorgängermodell ] , 15 cm ( 6 Zoll ) hochauflösend Display mit integriert Beleuchtung , ..."
neutral	 Charta zu sozial gerecht Energiewende  vorstellen
negative	$( PPER VAFIN ADV NN APPRART VVINF VAFIN ADJA NN XY NE $.
neutral	love Fun kiss Blümchen wintern kalt pink wissen blau bla bli blub blub ich laß ich fallen lächeln ...
negative	ich werden ich selbst nicht schreiben .
positive	gut Besserung %User - get wellen Soon ! FCB
neutral	Wasserschlacht von Gladbach heute ? skybuli bmgsge
positive	hehehe %PosSmiley was machen die Ikea Bastelei ?
positive	woahaaa geil lea %PosSmiley die müssen echt eine geil Gefühl sein . krass . Glückwunsch : %NegSmiley
neutral	"Porsche , @card@ @card@ : Windschott brechen"
neutral	"Station : Angelroda , Temp : @card@ °C , Wind : @card@ km / h , Luftdruck : @card@ %PosSmiley hpa , Niederschlag : @card@ mm , mehr Wetter unter"
neutral	schlafen jut Alte .
positive	Gute morgen ... freuen ich auf Samstag und sein spannen was ihr zu TRX sagen ...
negative	%NegSmiley
positive	oh du glücklich haben zayn / 5 congrates. crying right now
neutral	Ehemann Nummer zwei : was sagen Krise Humphries zu Kims Verlobung ? KimKardashian KanyeWest KrisHumphries
positive	so sehen die perfekt <UNKNOWN> - Media - Beitrag aus - Meedia %Link SocialMedia
neutral	Photo : neu Westfälische ( Bielefeld ): Kässmann : Luther hinterlassen eine schwer Erbe neu Westfälische ...
positive	"und , auch wenn es sich komisch anhören , blau Ding angucken . die Farbe entspannen die Auge . %PosSmiley"
neutral	Studie : Kita machen Erzieherin krank - RP ONLINE : RP ONLINEStudie : Kita machen Erzieherin krankRP ONLINENo ...
neutral	"die Lobby die neu HiltonFrankfurt AirportHotel "" The Squaire "" werden aufwendig mit Capadecor Metallocryl gestalten :"
neutral	Anlage voll aufdrehen bis mein Mutter wütend in Zimmer reinplatzt ! laufen
neutral	"Fuckin brilliant Einstein , ,"
neutral	"yoshihoka _ now "" Symphony <UNKNOWN> . 4 in G major : 1. bedächtig , nicht eilen "" by Tonhalle Orchester Zürich on Album "" Mahler : Symphony <UNKNOWN> . 4 """
neutral	lieb Staatskasse . weiterhin Abschaffung die Beitragsbemessungsgrenze .
neutral	Weltbild holen Umbau - Experte an Bord : Josef Schultheis werden Geschäftsführer Restrukturierung
neutral	"hören mal , wer da hämmern - Bote von Hassgau"
neutral	"in Herbst stellen man die Uhr zurück . "" in Frühling stellen ich die Gartenmöbel vor die Haazs in Herbst zurück "" %PosSmiley"
neutral	Sold !
neutral	Liebe %User sprengen eine Fussballspiel via tv air übers Handy ohne wlan die Rechnung ? haben noch 16 MB Restdatavolumen
negative	ach verdammen . nicht groß genug ! %PosSmiley ( @YouTube
negative	"aha , wer bis 15 nicht lesen können , sollen die also bis 18 können ... schrecklich , dies Hilflosigkeit ... övp"
positive	sehen sehr lecker aus %PosSmiley
negative	"  . if I Ever die These Hös Gone be Happy Asf. ! "" """
neutral	"Alkohol sieden bei 78 C , die machen also keine Unterschied ."
positive	Good morning Nice ! cotedazur @ Bambou Plage
positive	"fast genauso gut , nur modern . %PosSmiley"
positive	"zwar in Frechen , aber günstig und hübsch"
neutral	Vörde Möllen Frankfurterstr Ende STEAG seit Montag per Ampel einspurig .
negative	außerdem zeigen Wattpad alle mein Facebook Freund nun an wenn ich für eine Story vote . die sein vorher auch nicht . %PosSmiley
negative	"ach , hände brauchen keine"
neutral	"exklusiv : die klassisch Kinotrailer zu Alfonso Cuarons "" Gravity "" gehen unter die Haut - nur bei wir mit deutsch ..."
neutral	"%User jetzt wollen wir natürlich alle wissen , warum ausgerechnet Rösti auf die Monte Generoso ?"
negative	"Ok , streichen die Mist ."
neutral	New Post : IZ : Kellinghusen : Einbruch in Freibad - drei Person festnehmen
neutral	Dankeschön . ff Gruß
neutral	gebraucht Domain %Link einfach Gebot abgeben und Domain sicher
neutral	"so füllen , wie es helfen sein Furcht oder Neugier zu zügeln . nur eben keine Religion daraus machen"
neutral	"Verstoß kosen|kosten ordentlich für Leute die man wegen sowas drankriegen können , da fliegen Unionspartei gleich wieder raus . %PosSmiley"
neutral	Neoliberales Geschwätz .
neutral	weil ' s gerade zu die OZ - Wahl passen . Gillard lesen die ( wahrscheinlich ) neu Premier die Leviten : %Link Aufschrei
neutral	Stephen Sauer zu neu Finanzreferent wählen jusolakosaar13 herzlich Glückwunsch !
neutral	Felsen sein nicht fest . suchen du was fest .
neutral	"Finanzbürgermeister Peter Kleine verteidigen Plan , beitragsfr . Kita - Jahr zu streichen . Elternbeitrag sollen @card@ konstant bl. StadtratWE"
neutral	 die Teilnehmer gehen unter lautstark Protest zu Bahnhof zurück  badnenndorf
positive	sie sehen beide toll aus und jetzt stfu
positive	oder spät . wollen nur kurz was holen und wollen dic sehen lololol
neutral	Honduras : international Menschenrechtsbeobachter entführen
neutral	@card@ 4 französisch Telefongespräch aufzeichnen : Nsa spionieren millionenfach französisch Bürger aus nicht ...
positive	vogue %PosSmiley33 schenken ich alle hahaa haben gar keine
positive	du können mein Fenster putzen * lieb gucken *
neutral	CDU erhalten erneut Grossspende aus BMW - Umfeld / Audi stoppen Spendenpraxen schon vor Jahr
